10,true,2, Nicholas (Adele Achem) Nasser,female,14.0,1,0,237736,30.0708,-1,C
16,true,2, (Mary D Kingcome)  Hewlett,female,55.0,0,0,248706,16.0,-1,S
18,true,2, Charles Eugene Williams,male,-1.0,0,0,244373,13.0,-1,S
21,false,2, Joseph J Fynney,male,35.0,0,0,239865,26.0,-1,S
22,true,2, Lawrence Beesley,male,34.0,0,0,248698,13.0,D56,S
34,false,2, Edward H Wheadon,male,66.0,0,0,C.A. 24579,10.5,-1,S
42,false,2, William John Robert (Dorothy Ann Wonnacott) Turpin,female,27.0,1,0,11668,21.0,-1,S
44,true,2, Simonne Marie Anne Andree Laroche,female,3.0,1,2,SC/Paris 2123,41.5792,-1,C
54,true,2, Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29.0,1,0,2926,26.0,-1,S
57,true,2, Emily Rugg,female,21.0,0,0,C.A. 31026,10.5,-1,S
59,true,2, Constance Mirium West,female,5.0,1,2,C.A. 34651,27.75,-1,S
67,true,2, (Elizabeth Ramell) Nye,female,29.0,0,0,C.A. 29395,10.5,F33,S
71,false,2, Stephen Curnow Jenkin,male,32.0,0,0,C.A. 33111,10.5,-1,S
73,false,2, Ambrose Jr Hood,male,21.0,0,0,S.O.C. 14879,73.5,-1,S
79,true,2, Alden Gates Caldwell,male,0.83,0,2,248738,29.0,-1,S
85,true,2, Bertha Ilett,female,17.0,0,0,SO/C 14885,10.5,-1,S
99,true,2, John T (Ada Julia Bone) Doling,female,34.0,0,1,231919,23.0,-1,S
100,false,2, Sinai Kantor,male,34.0,1,0,244367,26.0,-1,S
118,false,2, William John Robert Turpin,male,29.0,1,0,11668,21.0,-1,S
121,false,2, Stanley George Hickman,male,21.0,2,0,S.O.C. 14879,73.5,-1,S
123,false,2, Nicholas Nasser,male,32.5,1,0,237736,30.0708,-1,C
124,true,2, Susan Webber,female,32.5,0,0,27267,13.0,E101,S
134,true,2, Leopold (Mathilde Francoise Pede) Weisz,female,29.0,1,0,228414,26.0,-1,S
135,false,2, Samuel James Hayden Sobey,male,25.0,0,0,C.A. 29178,13.0,-1,S
136,false,2, Emile Richard,male,23.0,0,0,SC/PARIS 2133,15.0458,-1,C
145,false,2, Edgardo Samuel Andrew,male,18.0,0,0,231945,11.5,-1,S
146,false,2, Joseph Charles Nicholls,male,19.0,1,1,C.A. 33112,36.75,-1,S
149,false,2, Michel ( Navratil,male,36.5,0,2,230080,26.0,F2,S
150,false,2, Thomas Roussel Davids Byles,male,42.0,0,0,244310,13.0,-1,S
151,false,2, Robert James Bateman,male,51.0,0,0,S.O.P. 1166,12.525,-1,S
162,true,2, James (Elizabeth  Watt,female,40.0,0,0,C.A. 33595,15.75,-1,S
179,false,2, Reginald Hale,male,30.0,0,0,250653,13.0,-1,S
182,false,2, Rene Pernot,male,-1.0,0,0,SC/PARIS 2131,15.05,-1,C
184,true,2, Richard F Becker,male,1.0,2,1,230136,39.0,F4,S
191,true,2, (Rosa) Pinsky,female,32.0,0,0,234604,13.0,-1,S
192,false,2, William Carbines,male,19.0,0,0,28424,13.0,-1,S
194,true,2, Michel M Navratil,male,3.0,1,1,230080,26.0,F2,S
200,false,2, Henriette ( Yrois,female,24.0,0,0,248747,13.0,-1,S
212,true,2, Clear Annie Cameron,female,35.0,0,0,F.C.C. 13528,21.0,-1,S
214,false,2, Hans Kristensen Givard,male,30.0,0,0,250646,13.0,-1,S
218,false,2, Sidney Samuel Jacobsohn,male,42.0,1,0,243847,27.0,-1,S
220,false,2, Walter Harris,male,30.0,0,0,W/C 14208,10.5,-1,S
222,false,2, James H Bracken,male,27.0,0,0,220367,13.0,-1,S
227,true,2, William John Mellors,male,19.0,0,0,SW/PP 751,10.5,-1,S
229,false,2, Arne Jonas Fahlstrom,male,18.0,0,0,236171,13.0,-1,S
233,false,2, Ernst Adolf Sjostedt,male,59.0,0,0,237442,13.5,-1,S
235,false,2, Robert William Norman Leyson,male,24.0,0,0,C.A. 29566,10.5,-1,S
237,false,2, Stephen Hold,male,44.0,1,0,26707,26.0,-1,S
238,true,2, Marjorie  Collyer,female,8.0,0,2,C.A. 31921,26.25,-1,S
239,false,2, Frederick William Pengelly,male,19.0,0,0,28665,10.5,-1,S
240,false,2, George Henry Hunt,male,33.0,0,0,SCO/W 1585,12.275,-1,S
243,false,2, Reginald Charles Coleridge,male,29.0,0,0,W./C. 14263,10.5,-1,S
248,true,2, William (Anna) Hamalainen,female,24.0,0,2,250649,14.5,-1,S
